,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,1096
8:30,Marachot hafala with Doron- laboratory,Algoritmim with Saray- lacture,,Histabrot with Beni- lacture,Histabrot with Beni- exercise,,
9:30,Marachot hafala with Doron- laboratory,Algoritmim with Saray- lacture,,Histabrot with Beni- lacture,Histabrot with Beni- exercise,,
10:30,OOP with Yoav- lacture,Marachot hafala with Sheli- lacture,,Histabrot with Beni- lacture,,,
11:30,OOP with Yoav- lacture,Marachot hafala with Sheli- lacture,,Marachot hafala with Sivan- exercise,,,
12:50,OOP with Yoav- lacture,Algoritmim with Saray- lacture,,Masade ntonim with Golani- lacture,,,
13:50,OOP with Moran- exercise,Algoritmim with Saray- lacture,,Masade ntonim with Golani- lacture,,,
14:50,Algoritmim with Kobi- exercise,Projects menagment with Anat- lacture,,Masade ntonim with Golani- lacture,,,
15:50,Algoritmim with Kobi- exercise,Projects menagment with Anat- lacture,,Masade ntonim with Golani- exercise,,,
16:50,,Projects menagment with Anat- lacture,,Masade ntonim with Golani- exercise,,,
17:50,,,,,,,
18:50,,,,,,,
19:50,,,,,,,


,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,1126
8:30,Marachot hafala with Doron- laboratory,Algoritmim with Saray- lacture,,Histabrot with Beni- lacture,Histabrot with Beni- exercise,,
9:30,Marachot hafala with Doron- laboratory,Algoritmim with Saray- lacture,,Histabrot with Beni- lacture,Histabrot with Beni- exercise,,
10:30,OOP with Yoav- lacture,Marachot hafala with Sheli- lacture,,Histabrot with Beni- lacture,Masade ntonim with Golani- lacture,,
11:30,OOP with Yoav- lacture,Marachot hafala with Sheli- lacture,,Marachot hafala with Sivan- exercise,Masade ntonim with Golani- lacture,,
12:50,OOP with Yoav- lacture,Algoritmim with Saray- lacture,,,Masade ntonim with Golani- lacture,,
13:50,OOP with Moran- exercise,Algoritmim with Saray- lacture,,,Masade ntonim with Golani- exercise,,
14:50,Algoritmim with Kobi- exercise,Projects menagment with Anat- lacture,,,Masade ntonim with Golani- exercise,,
15:50,Algoritmim with Kobi- exercise,Projects menagment with Anat- lacture,,,,,
16:50,,Projects menagment with Anat- lacture,,,,,
17:50,,,,,,,
18:50,,,,,,,
19:50,,,,,,,


